我的愿望会成真吗	我就一个脑袋，思想再活跃也有局限性
你去告诉他我喜欢他好不好	好的啦
亲爱的姐姐	又是亲爱的，这叫法早就落伍了
没教养的	王栎鑫的歌，特好听
呵nmlgb!	不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
明天苏州冷不冷	这气温刚刚好吧？
我是你主人知道了	得了，就你，别在这瞎冒充我主人了
有多久了	爽到飘到火星去了
果果	夜半吃完五斤瓜
就只会笑么	我乐意爱你
冷死了	吵到你逆，？
我要找对象	额~那你去外面找啊
你又吹牛逼	你说吹就吹啊
我是不是三黄	你说是就是吧
你叫小傻瓜	对，我就是傻瓜
包邮不	不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
你刚才说什么	我刚才肿木了？我记性不好，全忘了
你妈的那是我的老婆你这笨	{r-}讲粗口不是好孩子
你是传说我是什么	你是额的优乐美
你真的好傻好天真	你傻！你傻！你就是傻！
作死的	死了我拜你
找不到你给我的回复了	看你那粗心样，肯定找不到
能不呵呵么	呵呵~
拉裤兜子	{face:3}有些同事反映你，白天文明，但不精神，晚上精神，但不文明
你都有孩子拉	梗係有啦
两只老虎跑得快	谈恋爱，谈恋爱，两只都是公的，两只都是公的，真变态，真变态
我愿意管的着吗你	被放逐天际
好一个女的	放他走吧，他不爱你了
还以为你死了	同归于尽
美丽的淑媚是我麻麻	宝贝，你说的话好深奥啊，有点像哥德巴赫猜想，暂时无解！
你才猪	你才別學我說話=，=
封小帆挖~还用问	谈谈情，跳跳舞，跟我搞暧昧啊
